value;area;urban;gender
152594;Российская Федерация;Городское и сельское население;Оба пола
85893;Российская Федерация;Городское и сельское население;Мужчины
66701;Российская Федерация;Городское и сельское население;Женщины
86514;Российская Федерация;Городское население;Оба пола
47260;Российская Федерация;Городское население;Мужчины
39254;Российская Федерация;Городское население;Женщины
66080;Российская Федерация;Сельское население;Оба пола
38633;Российская Федерация;Сельское население;Мужчины
27447;Российская Федерация;Сельское население;Женщины
38902;Центральный федеральный округ;Городское и сельское население;Оба пола
22126;Центральный федеральный округ;Городское и сельское население;Мужчины
16776;Центральный федеральный округ;Городское и сельское население;Женщины
22426;Центральный федеральный округ;Городское население;Оба пола
12411;Центральный федеральный округ;Городское население;Мужчины
10015;Центральный федеральный округ;Городское население;Женщины
16476;Центральный федеральный округ;Сельское население;Оба пола
9715;Центральный федеральный округ;Сельское население;Мужчины
6761;Центральный федеральный округ;Сельское население;Женщины
1972;Белгородская область;Городское и сельское население;Оба пола
1138;Белгородская область;Городское и сельское население;Мужчины
834;Белгородская область;Городское и сельское население;Женщины
1133;Белгородская область;Городское население;Оба пола
635;Белгородская область;Городское население;Мужчины
498;Белгородская область;Городское население;Женщины
839;Белгородская область;Сельское население;Оба пола
503;Белгородская область;Сельское население;Мужчины
336;Белгородская область;Сельское население;Женщины
2251;Брянская область;Городское и сельское население;Оба пола
1371;Брянская область;Городское и сельское население;Мужчины
880;Брянская область;Городское и сельское население;Женщины
1187;Брянская область;Городское население;Оба пола
750;Брянская область;Городское население;Мужчины
437;Брянская область;Городское население;Женщины
1064;Брянская область;Сельское население;Оба пола
621;Брянская область;Сельское население;Мужчины
443;Брянская область;Сельское население;Женщины
1945;Владимирская область;Городское и сельское население;Оба пола
1129;Владимирская область;Городское и сельское население;Мужчины
816;Владимирская область;Городское и сельское население;Женщины
1275;Владимирская область;Городское население;Оба пола
734;Владимирская область;Городское население;Мужчины
541;Владимирская область;Городское население;Женщины
670;Владимирская область;Сельское население;Оба пола
395;Владимирская область;Сельское население;Мужчины
275;Владимирская область;Сельское население;Женщины
1810;Воронежская область;Городское и сельское население;Оба пола
956;Воронежская область;Городское и сельское население;Мужчины
854;Воронежская область;Городское и сельское население;Женщины
846;Воронежская область;Городское население;Оба пола
436;Воронежская область;Городское население;Мужчины
410;Воронежская область;Городское население;Женщины
964;Воронежская область;Сельское население;Оба пола
520;Воронежская область;Сельское население;Мужчины
444;Воронежская область;Сельское население;Женщины
2063;Ивановская область;Городское и сельское население;Оба пола
1166;Ивановская область;Городское и сельское население;Мужчины
897;Ивановская область;Городское и сельское население;Женщины
1240;Ивановская область;Городское население;Оба пола
670;Ивановская область;Городское население;Мужчины
570;Ивановская область;Городское население;Женщины
823;Ивановская область;Сельское население;Оба пола
496;Ивановская область;Сельское население;Мужчины
327;Ивановская область;Сельское население;Женщины
2062;Калужская область;Городское и сельское население;Оба пола
1188;Калужская область;Городское и сельское население;Мужчины
874;Калужская область;Городское и сельское население;Женщины
920;Калужская область;Городское население;Оба пола
532;Калужская область;Городское население;Мужчины
388;Калужская область;Городское население;Женщины
1142;Калужская область;Сельское население;Оба пола
656;Калужская область;Сельское население;Мужчины
486;Калужская область;Сельское население;Женщины
1107;Костромская область;Городское и сельское население;Оба пола
670;Костромская область;Городское и сельское население;Мужчины
437;Костромская область;Городское и сельское население;Женщины
613;Костромская область;Городское население;Оба пола
354;Костромская область;Городское население;Мужчины
259;Костромская область;Городское население;Женщины
494;Костромская область;Сельское население;Оба пола
316;Костромская область;Сельское население;Мужчины
178;Костромская область;Сельское население;Женщины
2214;Курская область;Городское и сельское население;Оба пола
1302;Курская область;Городское и сельское население;Мужчины
912;Курская область;Городское и сельское население;Женщины
844;Курская область;Городское население;Оба пола
495;Курская область;Городское население;Мужчины
349;Курская область;Городское население;Женщины
1370;Курская область;Сельское население;Оба пола
807;Курская область;Сельское население;Мужчины
563;Курская область;Сельское население;Женщины
2504;Липецкая область;Городское и сельское население;Оба пола
1433;Липецкая область;Городское и сельское население;Мужчины
1071;Липецкая область;Городское и сельское население;Женщины
1400;Липецкая область;Городское население;Оба пола
789;Липецкая область;Городское население;Мужчины
611;Липецкая область;Городское население;Женщины
1104;Липецкая область;Сельское население;Оба пола
644;Липецкая область;Сельское население;Мужчины
460;Липецкая область;Сельское население;Женщины
4694;Московская область;Городское и сельское население;Оба пола
2559;Московская область;Городское и сельское население;Мужчины
2135;Московская область;Городское и сельское население;Женщины
3107;Московская область;Городское население;Оба пола
1670;Московская область;Городское население;Мужчины
1437;Московская область;Городское население;Женщины
1587;Московская область;Сельское население;Оба пола
889;Московская область;Сельское население;Мужчины
698;Московская область;Сельское население;Женщины
1687;Орловская область;Городское и сельское население;Оба пола
960;Орловская область;Городское и сельское население;Мужчины
727;Орловская область;Городское и сельское население;Женщины
787;Орловская область;Городское население;Оба пола
441;Орловская область;Городское население;Мужчины
346;Орловская область;Городское население;Женщины
900;Орловская область;Сельское население;Оба пола
519;Орловская область;Сельское население;Мужчины
381;Орловская область;Сельское население;Женщины
1920;Рязанская область;Городское и сельское население;Оба пола
1147;Рязанская область;Городское и сельское население;Мужчины
773;Рязанская область;Городское и сельское население;Женщины
763;Рязанская область;Городское население;Оба пола
488;Рязанская область;Городское население;Мужчины
275;Рязанская область;Городское население;Женщины
1157;Рязанская область;Сельское население;Оба пола
659;Рязанская область;Сельское население;Мужчины
498;Рязанская область;Сельское население;Женщины
1243;Смоленская область;Городское и сельское население;Оба пола
738;Смоленская область;Городское и сельское население;Мужчины
505;Смоленская область;Городское и сельское население;Женщины
743;Смоленская область;Городское население;Оба пола
414;Смоленская область;Городское население;Мужчины
329;Смоленская область;Городское население;Женщины
500;Смоленская область;Сельское население;Оба пола
324;Смоленская область;Сельское население;Мужчины
176;Смоленская область;Сельское население;Женщины
1684;Тамбовская область;Городское и сельское население;Оба пола
1022;Тамбовская область;Городское и сельское население;Мужчины
662;Тамбовская область;Городское и сельское население;Женщины
797;Тамбовская область;Городское население;Оба пола
470;Тамбовская область;Городское население;Мужчины
327;Тамбовская область;Городское население;Женщины
887;Тамбовская область;Сельское население;Оба пола
552;Тамбовская область;Сельское население;Мужчины
335;Тамбовская область;Сельское население;Женщины
2430;Тверская область;Городское и сельское население;Оба пола
1443;Тверская область;Городское и сельское население;Мужчины
987;Тверская область;Городское и сельское население;Женщины
1356;Тверская область;Городское население;Оба пола
782;Тверская область;Городское население;Мужчины
574;Тверская область;Городское население;Женщины
1074;Тверская область;Сельское население;Оба пола
661;Тверская область;Сельское население;Мужчины
413;Тверская область;Сельское население;Женщины
2030;Тульская область;Городское и сельское население;Оба пола
1168;Тульская область;Городское и сельское население;Мужчины
862;Тульская область;Городское и сельское население;Женщины
1104;Тульская область;Городское население;Оба пола
608;Тульская область;Городское население;Мужчины
496;Тульская область;Городское население;Женщины
926;Тульская область;Сельское население;Оба пола
560;Тульская область;Сельское население;Мужчины
366;Тульская область;Сельское население;Женщины
2420;Ярославская область;Городское и сельское население;Оба пола
1406;Ярославская область;Городское и сельское население;Мужчины
1014;Ярославская область;Городское и сельское население;Женщины
1505;Ярославская область;Городское население;Оба пола
842;Ярославская область;Городское население;Мужчины
663;Ярославская область;Городское население;Женщины
915;Ярославская область;Сельское население;Оба пола
564;Ярославская область;Сельское население;Мужчины
351;Ярославская область;Сельское население;Женщины
2866;Город федерального значения Москва;Городское и сельское население;Оба пола
1330;Город федерального значения Москва;Городское и сельское население;Мужчины
1536;Город федерального значения Москва;Городское и сельское население;Женщины
2806;Город федерального значения Москва;Городское население;Оба пола
1301;Город федерального значения Москва;Городское население;Мужчины
1505;Город федерального значения Москва;Городское население;Женщины
60;Город федерального значения Москва;Сельское население;Оба пола
29;Город федерального значения Москва;Сельское население;Мужчины
31;Город федерального значения Москва;Сельское население;Женщины
17431;Северо-Западный федеральный округ;Городское и сельское население;Оба пола
9900;Северо-Западный федеральный округ;Городское и сельское население;Мужчины
7531;Северо-Западный федеральный округ;Городское и сельское население;Женщины
10558;Северо-Западный федеральный округ;Городское население;Оба пола
5770;Северо-Западный федеральный округ;Городское население;Мужчины
4788;Северо-Западный федеральный округ;Городское население;Женщины
6873;Северо-Западный федеральный округ;Сельское население;Оба пола
4130;Северо-Западный федеральный округ;Сельское население;Мужчины
2743;Северо-Западный федеральный округ;Сельское население;Женщины
1630;Республика Карелия;Городское и сельское население;Оба пола
883;Республика Карелия;Городское и сельское население;Мужчины
747;Республика Карелия;Городское и сельское население;Женщины
727;Республика Карелия;Городское население;Оба пола
378;Республика Карелия;Городское население;Мужчины
349;Республика Карелия;Городское население;Женщины
903;Республика Карелия;Сельское население;Оба пола
505;Республика Карелия;Сельское население;Мужчины
398;Республика Карелия;Сельское население;Женщины
1968;Республика Коми;Городское и сельское население;Оба пола
1101;Республика Коми;Городское и сельское население;Мужчины
867;Республика Коми;Городское и сельское население;Женщины
1200;Республика Коми;Городское население;Оба пола
643;Республика Коми;Городское население;Мужчины
557;Республика Коми;Городское население;Женщины
768;Республика Коми;Сельское население;Оба пола
458;Республика Коми;Сельское население;Мужчины
310;Республика Коми;Сельское население;Женщины
2277;Архангельская область;Городское и сельское население;Оба пола
1320;Архангельская область;Городское и сельское население;Мужчины
957;Архангельская область;Городское и сельское население;Женщины
1421;Архангельская область;Городское население;Оба пола
809;Архангельская область;Городское население;Мужчины
612;Архангельская область;Городское население;Женщины
856;Архангельская область;Сельское население;Оба пола
511;Архангельская область;Сельское население;Мужчины
345;Архангельская область;Сельское население;Женщины
213;Ненецкий автономный округ;Городское и сельское население;Оба пола
129;Ненецкий автономный округ;Городское и сельское население;Мужчины
84;Ненецкий автономный округ;Городское и сельское население;Женщины
97;Ненецкий автономный округ;Городское население;Оба пола
62;Ненецкий автономный округ;Городское население;Мужчины
35;Ненецкий автономный округ;Городское население;Женщины
116;Ненецкий автономный округ;Сельское население;Оба пола
67;Ненецкий автономный округ;Сельское население;Мужчины
49;Ненецкий автономный округ;Сельское население;Женщины
1524;Вологодская область;Городское и сельское население;Оба пола
899;Вологодская область;Городское и сельское население;Мужчины
625;Вологодская область;Городское и сельское население;Женщины
693;Вологодская область;Городское население;Оба пола
384;Вологодская область;Городское население;Мужчины
309;Вологодская область;Городское население;Женщины
831;Вологодская область;Сельское население;Оба пола
515;Вологодская область;Сельское население;Мужчины
316;Вологодская область;Сельское население;Женщины
925;Калининградская область;Городское и сельское население;Оба пола
510;Калининградская область;Городское и сельское население;Мужчины
415;Калининградская область;Городское и сельское население;Женщины
456;Калининградская область;Городское население;Оба пола
238;Калининградская область;Городское население;Мужчины
218;Калининградская область;Городское население;Женщины
469;Калининградская область;Сельское население;Оба пола
272;Калининградская область;Сельское население;Мужчины
197;Калининградская область;Сельское население;Женщины
2154;Ленинградская область;Городское и сельское население;Оба пола
1185;Ленинградская область;Городское и сельское население;Мужчины
969;Ленинградская область;Городское и сельское население;Женщины
1117;Ленинградская область;Городское население;Оба пола
609;Ленинградская область;Городское население;Мужчины
508;Ленинградская область;Городское население;Женщины
1037;Ленинградская область;Сельское население;Оба пола
576;Ленинградская область;Сельское население;Мужчины
461;Ленинградская область;Сельское население;Женщины
1790;Мурманская область;Городское и сельское население;Оба пола
1011;Мурманская область;Городское и сельское население;Мужчины
779;Мурманская область;Городское и сельское население;Женщины
1428;Мурманская область;Городское население;Оба пола
798;Мурманская область;Городское население;Мужчины
630;Мурманская область;Городское население;Женщины
362;Мурманская область;Сельское население;Оба пола
213;Мурманская область;Сельское население;Мужчины
149;Мурманская область;Сельское население;Женщины
1948;Новгородская область;Городское и сельское население;Оба пола
1221;Новгородская область;Городское и сельское население;Мужчины
727;Новгородская область;Городское и сельское население;Женщины
1009;Новгородская область;Городское население;Оба пола
592;Новгородская область;Городское население;Мужчины
417;Новгородская область;Городское население;Женщины
939;Новгородская область;Сельское население;Оба пола
629;Новгородская область;Сельское население;Мужчины
310;Новгородская область;Сельское население;Женщины
1424;Псковская область;Городское и сельское население;Оба пола
857;Псковская область;Городское и сельское население;Мужчины
567;Псковская область;Городское и сельское население;Женщины
716;Псковская область;Городское население;Оба пола
406;Псковская область;Городское население;Мужчины
310;Псковская область;Городское население;Женщины
708;Псковская область;Сельское население;Оба пола
451;Псковская область;Сельское население;Мужчины
257;Псковская область;Сельское население;Женщины
1791;Город федерального значения Санкт-Петербург;Городское и сельское население;Оба пола
913;Город федерального значения Санкт-Петербург;Городское и сельское население;Мужчины
878;Город федерального значения Санкт-Петербург;Городское и сельское население;Женщины
11549;Южный федеральный округ;Городское и сельское население;Оба пола
6364;Южный федеральный округ;Городское и сельское население;Мужчины
5185;Южный федеральный округ;Городское и сельское население;Женщины
6212;Южный федеральный округ;Городское население;Оба пола
3322;Южный федеральный округ;Городское население;Мужчины
2890;Южный федеральный округ;Городское население;Женщины
5337;Южный федеральный округ;Сельское население;Оба пола
3042;Южный федеральный округ;Сельское население;Мужчины
2295;Южный федеральный округ;Сельское население;Женщины
765;Республика Адыгея;Городское и сельское население;Оба пола
419;Республика Адыгея;Городское и сельское население;Мужчины
346;Республика Адыгея;Городское и сельское население;Женщины
362;Республика Адыгея;Городское население;Оба пола
186;Республика Адыгея;Городское население;Мужчины
176;Республика Адыгея;Городское население;Женщины
403;Республика Адыгея;Сельское население;Оба пола
233;Республика Адыгея;Сельское население;Мужчины
170;Республика Адыгея;Сельское население;Женщины
499;Республика Калмыкия;Городское и сельское население;Оба пола
284;Республика Калмыкия;Городское и сельское население;Мужчины
215;Республика Калмыкия;Городское и сельское население;Женщины
246;Республика Калмыкия;Городское население;Оба пола
127;Республика Калмыкия;Городское население;Мужчины
119;Республика Калмыкия;Городское население;Женщины
253;Республика Калмыкия;Сельское население;Оба пола
157;Республика Калмыкия;Сельское население;Мужчины
96;Республика Калмыкия;Сельское население;Женщины
3568;Краснодарский край;Городское и сельское население;Оба пола
1935;Краснодарский край;Городское и сельское население;Мужчины
1633;Краснодарский край;Городское и сельское население;Женщины
1776;Краснодарский край;Городское население;Оба пола
951;Краснодарский край;Городское население;Мужчины
825;Краснодарский край;Городское население;Женщины
1792;Краснодарский край;Сельское население;Оба пола
984;Краснодарский край;Сельское население;Мужчины
808;Краснодарский край;Сельское население;Женщины
941;Астраханская область;Городское и сельское население;Оба пола
530;Астраханская область;Городское и сельское население;Мужчины
411;Астраханская область;Городское и сельское население;Женщины
472;Астраханская область;Городское население;Оба пола
255;Астраханская область;Городское население;Мужчины
217;Астраханская область;Городское население;Женщины
469;Астраханская область;Сельское население;Оба пола
275;Астраханская область;Сельское население;Мужчины
194;Астраханская область;Сельское население;Женщины
2076;Волгоградская область;Городское и сельское население;Оба пола
1137;Волгоградская область;Городское и сельское население;Мужчины
939;Волгоградская область;Городское и сельское население;Женщины
1152;Волгоградская область;Городское население;Оба пола
618;Волгоградская область;Городское население;Мужчины
534;Волгоградская область;Городское население;Женщины
924;Волгоградская область;Сельское население;Оба пола
519;Волгоградская область;Сельское население;Мужчины
405;Волгоградская область;Сельское население;Женщины
3700;Ростовская область;Городское и сельское население;Оба пола
2059;Ростовская область;Городское и сельское население;Мужчины
1641;Ростовская область;Городское и сельское население;Женщины
2204;Ростовская область;Городское население;Оба пола
1185;Ростовская область;Городское население;Мужчины
1019;Ростовская область;Городское население;Женщины
1496;Ростовская область;Сельское население;Оба пола
874;Ростовская область;Сельское население;Мужчины
622;Ростовская область;Сельское население;Женщины
6412;Северо-Кавказский федеральный округ;Городское и сельское население;Оба пола
3460;Северо-Кавказский федеральный округ;Городское и сельское население;Мужчины
2952;Северо-Кавказский федеральный округ;Городское и сельское население;Женщины
3238;Северо-Кавказский федеральный округ;Городское население;Оба пола
1699;Северо-Кавказский федеральный округ;Городское население;Мужчины
1539;Северо-Кавказский федеральный округ;Городское население;Женщины
3174;Северо-Кавказский федеральный округ;Сельское население;Оба пола
1761;Северо-Кавказский федеральный округ;Сельское население;Мужчины
1413;Северо-Кавказский федеральный округ;Сельское население;Женщины
1047;Республика Дагестан;Городское и сельское население;Оба пола
561;Республика Дагестан;Городское и сельское население;Мужчины
486;Республика Дагестан;Городское и сельское население;Женщины
528;Республика Дагестан;Городское население;Оба пола
262;Республика Дагестан;Городское население;Мужчины
266;Республика Дагестан;Городское население;Женщины
519;Республика Дагестан;Сельское население;Оба пола
299;Республика Дагестан;Сельское население;Мужчины
220;Республика Дагестан;Сельское население;Женщины
396;Республика Ингушетия;Городское и сельское население;Оба пола
196;Республика Ингушетия;Городское и сельское население;Мужчины
200;Республика Ингушетия;Городское и сельское население;Женщины
249;Республика Ингушетия;Городское население;Оба пола
124;Республика Ингушетия;Городское население;Мужчины
125;Республика Ингушетия;Городское население;Женщины
147;Республика Ингушетия;Сельское население;Оба пола
72;Республика Ингушетия;Сельское население;Мужчины
75;Республика Ингушетия;Сельское население;Женщины
794;Кабардино-Балкарская Республика;Городское и сельское население;Оба пола
414;Кабардино-Балкарская Республика;Городское и сельское население;Мужчины
380;Кабардино-Балкарская Республика;Городское и сельское население;Женщины
447;Кабардино-Балкарская Республика;Городское население;Оба пола
217;Кабардино-Балкарская Республика;Городское население;Мужчины
230;Кабардино-Балкарская Республика;Городское население;Женщины
347;Кабардино-Балкарская Республика;Сельское население;Оба пола
197;Кабардино-Балкарская Республика;Сельское население;Мужчины
150;Кабардино-Балкарская Республика;Сельское население;Женщины
589;Карачаево-Черкесская Республика;Городское и сельское население;Оба пола
309;Карачаево-Черкесская Республика;Городское и сельское население;Мужчины
280;Карачаево-Черкесская Республика;Городское и сельское население;Женщины
212;Карачаево-Черкесская Республика;Городское население;Оба пола
104;Карачаево-Черкесская Республика;Городское население;Мужчины
108;Карачаево-Черкесская Республика;Городское население;Женщины
377;Карачаево-Черкесская Республика;Сельское население;Оба пола
205;Карачаево-Черкесская Республика;Сельское население;Мужчины
172;Карачаево-Черкесская Республика;Сельское население;Женщины
879;Республика Северная Осетия-Алания;Городское и сельское население;Оба пола
456;Республика Северная Осетия-Алания;Городское и сельское население;Мужчины
423;Республика Северная Осетия-Алания;Городское и сельское население;Женщины
544;Республика Северная Осетия-Алания;Городское население;Оба пола
286;Республика Северная Осетия-Алания;Городское население;Мужчины
258;Республика Северная Осетия-Алания;Городское население;Женщины
335;Республика Северная Осетия-Алания;Сельское население;Оба пола
170;Республика Северная Осетия-Алания;Сельское население;Мужчины
165;Республика Северная Осетия-Алания;Сельское население;Женщины
765;Чеченская Республика;Городское и сельское население;Оба пола
405;Чеченская Республика;Городское и сельское население;Мужчины
360;Чеченская Республика;Городское и сельское население;Женщины
286;Чеченская Республика;Городское население;Оба пола
140;Чеченская Республика;Городское население;Мужчины
146;Чеченская Республика;Городское население;Женщины
479;Чеченская Республика;Сельское население;Оба пола
265;Чеченская Республика;Сельское население;Мужчины
